Entity,Code,Day,75+_start,75-79_start,60-64_start,0-17_start,80+_start,65-69_start,70-74_start,18-24_start,65-74_start,45-54_start,50-54_start,55-59_start,50-59_start,35-44_start,18-29_start,70-79_start,25-49_start,25-34_start,60-69_start,30-39_start,40-49_start,55-64_start,12-17_start
Austria,AUT,2021-01-08,,,,,1.23,,,0.12,,,,,0.54,,,0.27,0.38,,0.32,,,,
Austria,AUT,2021-01-15,,,,,6.05,,,0.44,,,,,1.81,,,1.29,1.18,,1.3,,,,
Austria,AUT,2021-01-22,,,,,11.74,,,0.87,,,,,3.15,,,2.15,2.16,,2.11,,,,
Austria,AUT,2021-01-29,,,,,14.12,,,1.03,,,,,3.54,,,2.36,2.47,,2.38,,,,
Austria,AUT,2021-02-05,,,,,14.92,,,1.15,,,,,3.85,,,2.51,2.68,,2.57,,,,
Austria,AUT,2021-02-12,,,,,15.84,,,1.52,,,,,4.31,,,2.72,3.04,,2.83,,,,
Austria,AUT,2021-02-19,,,,,20.16,,,2,,,,,5.15,,,3.04,3.71,,3.34,,,,
Austria,AUT,2021-02-26,,,,,27.78,,,2.95,,,,,6.45,,,3.53,4.8,,4.2,,,,
Austria,AUT,2021-03-05,,,,,43.83,,,3.73,,,,,7.91,,,4.58,5.87,,5.33,,,,
Austria,AUT,2021-03-12,,,,,57.45,,,5.12,,,,,10.41,,,8.15,7.91,,8.12,,,,
Austria,AUT,2021-03-19,,,,,66.8,,,5.82,,,,,12.4,,,13.82,9.26,,10.99,,,,
Austria,AUT,2021-03-26,,,,,71.85,,,6.46,,,,,14.22,,,19.01,10.46,,13.38,,,,
Austria,AUT,2021-04-02,,,,,78.37,,,6.82,,,,,15.24,,,26.94,11.03,,15.02,,,,
Austria,AUT,2021-04-09,,,,,84.12,,,7.15,,,,,16.35,,,40.45,11.6,,19.75,,,,
Austria,AUT,2021-04-16,,,,,88.18,,,7.64,,,,,18.54,,,54.53,12.7,,27.7,,,,
Austria,AUT,2021-04-23,,,,,90.14,,,8.51,,,,,22.29,,,63.77,14.44,,37.47,,,,
Austria,AUT,2021-04-30,,,,,91.4,,,9.72,,,,,27.06,,,67.96,16.34,,48.94,,,,
Austria,AUT,2021-05-07,,,,,92.89,,,11.68,,,,,34.16,,,71.52,19.53,,57.67,,,,
Austria,AUT,2021-05-14,,,,,93.86,,,13.98,,,,,42.08,,,73.5,23.01,,64.1,,,,
Austria,AUT,2021-05-21,,,,,94.95,,,16.79,,,,,49.19,,,75.47,28.03,,70.69,,,,
Austria,AUT,2021-05-28,,,,,95.59,,,19.58,,,,,53.63,,,76.5,32.26,,73.85,,,,
Austria,AUT,2021-06-04,,,,,96.21,,,23.92,,,,,58.73,,,77.43,37.75,,76.32,,,,
